raw_venue,normalized_venue
An Efficient Newton Barrier Method for Minimizing a Sum of Euclidean Norms,An Efficient Newton Barrier Method For Minimizing A Sum Of Euclidean Norms
Network Control and Optimization,Network Control And Optimization
ICEIS Doctoral Consortium,Iceis Doctoral Consortium
SemEval '10 Proceedings of the 5th International Workshop on Semantic Evaluation,Semeval Proceedings Of The International Workshop On Semantic Evaluation
"INTERNATIONAL CONFERENCE ON IMAGE PROCESSING, PROCEEDINGS - VOL II",International Conference On Image Processing - Proceedings
AAAI Workshop: Learning for General Competency in Video Games,Aaai Workshop: Learning For General Competency In Video Games
ACM Transactions on Applied Perception (TAP),Acm Transactions On Applied Perception
MATHEMATICA SLOVACA,Mathematica Slovaca
MLDM Posters,Mldm Posters
NUMERISCHE MATHEMATIK,Numerische Mathematik
PROCEEDINGS 2018 IEEE/ACM 40TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING - COMPANION (ICSE-COMPANION,Proceedings Ieee/Acm International Conference On Software Engineering - Companion (Icse-Companion
ECSCW Exploratory Papers,Ecscw Exploratory Papers
IUKM,Iukm
ACM SIGCSE Bulletin - Women and Computing,Acm Sigcse Bulletin - Women And Computing
CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH,Central European Journal Of Operations Research
Springer Science Reviews,Springer Science Reviews
2015 16th International Workshop on Microprocessor and SOC Test and Verification (MTV),International Workshop On Microprocessor And Soc Test And Verification
SIMPAR,Simpar
JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE,Journal Of Semiconductor Technology And Science
SIGN LANGUAGE & LINGUISTICS,Sign Language And Linguistics
Wireless Personal Communications,Wireless Personal Communications
2018 IEEE/ACM 26th International Symposium on Quality of Service (IWQoS),Ieee/Acm International Symposium On Quality Of Service
Computational and Applied Mathematics,Computational And Applied Mathematics
EMNLP,Emnlp
DAGM Symposium Symposium for Pattern Recognition,Dagm Symposium Symposium For Pattern Recognition
HPDC '08 Proceedings of the 17th international symposium on High performance distributed computing,Hpdc Proceedings Of The International Symposium On High Performance Distributed Computing
scandinavian conference on image analysis,Scandinavian Conference On Image Analysis
International Conference on Network Protocols,Ieee International Conference On Network Protocols
Current Anaesthesia & Critical Care,Current Anaesthesia And Critical Care
"Enterprise Information Systems - Contains Special Issue: Modelling, Simulation, Verification and Validation of Enterprise Information Systems, edited by Juan Carlos Augusto and Marc Roper","Enterprise Information Systems - Contains Special : Modelling, Simulation, Verification And Validation Of Enterprise Information Systems, Edited By Juan Carlos Augusto And Marc Roper"
Zouk Mosbeh,Zouk Mosbeh
"Software Testing, Verification and Validation","Software Testing, Verification And Validation"
Computers and the Humanities - A special double issue on activities in Canada: part I,Computers And The Humanities - A Special Double On Activities In Canada
"ADVANCES IN CONCEPTUAL MODELING, ER 2015 WORKSHOPS","Advances In Conceptual Modeling, Er Workshops"
A model-driven penetration test framework for web applications,A Model-Driven Penetration Test Framework For Web Applications
ADNTIIC,Adntiic
Journal of Machine Learning Research,Journal Of Machine Learning Research
Support vector machines for text categorization,Support Vector Machines For Text Categorization
Atomic Data and Nuclear Data Tables,Atomic Data And Nuclear Data Tables
Concurrent Object-Oriented Programming and Petri Nets,Concurrent Object-Oriented Programming And Petri Nets
Nice,Nice
WIT Transactions on Modelling and Simulation,Wit Transactions On Modelling And Simulation
"COORDINATION MODELS AND LANGUAGES, COORDINATION 2014","Coordination Models And Languages, Coordination"
IRANIAN JOURNAL OF FUZZY SYSTEMS,Iranian Journal Of Fuzzy Systems
"3RD IEEE INTERNATIONAL CONFERENCE ON ADVANCED LEARNING TECHNOLOGIES, PROCEEDINGS","Ieee International Conference On Advanced Learning Technologies, Proceedings"
25 years of the international symposia on Computer architecture (selected papers),Years Of The International Symposia On Computer Architecture
EuroVis'10 Proceedings of the 12th Eurographics / IEEE - VGTC conference on Visualization,Eurovisproceedings Of The Eurographics / Ieee - Vgtc Conference On Visualization
SERIEs,Series
International Journal of Metaheuristics,International Journal Of Metaheuristics
"INTERNATIONAL CONFERENCE ON DEPENDABLE SYSTEMS AND NETWORKS, PROCEEDINGS","International Conference On Dependable Systems And Networks, Proceedings"
SIGGRAPH ASIA Animations,Siggraph Asia Animations
high performance computing,High Performance Computing
SIGGRAPH (Panels),Siggraph
STACOM@MICCAI,Stacom@Miccai
"Reliability, Maintainability and Safety","Reliability, Maintainability And Safety"
International Journal of Information Systems for Crisis Response and Management,International Journal Of Information Systems For Crisis Response And Management
Scientia Sinica(Informationis),Scientia Sinica
2017 IEEE 30th Canadian Conference on Electrical and Computer Engineering (CCECE),Canadian Conference On Electrical And Computer Engineering
"INTEGRATION AND INNOVATION ORIENT TO E-SOCIETY, VOL 1",Integration And Innovation Orient To E-Society
"ADVANCES IN ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING, MICAI 2015, PT I","Advances In Artificial Intelligence And Soft Computing, Micai , Pt"
Proceedings of the 9th International Symposium on Networks-on-Chip,Proceedings Of The International Symposium On Networks-On-Chip
IEEE Robotics and Automation Letters,Ieee Robotics And Automation Letters
International Computer Software and Applications Conference,International Computer Software And Applications Conference
Hardware Oriented Security and Trust,Hardware Oriented Security And Trust
VIS '93 Proceedings of the 4th conference on Visualization '93,Vis Proceedings Of The Conference On Visualization
ICT AND CRITICAL INFRASTRUCTURE: PROCEEDINGS OF THE 48TH ANNUAL CONVENTION OF COMPUTER SOCIETY OF INDIA - VOL I,Ict And Critical Infrastructure: Proceedings Of The Annual Convention Of Computer Society Of India
Generalizations of tournaments: A survey,Generalizations Of Tournaments: A Survey
ESA'05 Proceedings of the 13th annual European conference on Algorithms,Esaproceedings Of The Annual European Conference On Algorithms
ICCEA '10 Proceedings of the 2010 Second International Conference on Computer Engineering and Applications - Volume 02,Iccea Proceedings Of The Second International Conference On Computer Engineering And Applications
ALGORITHMS AND DISCRETE APPLIED MATHEMATICS,Algorithms And Discrete Applied Mathematics
Formal to Practical Security,Formal To Practical Security
international conference on cyber-physical systems,International Conference On Cyber-Physical Systems
"ADVANCES IN COMPUTERS, VOL 49",Advances In Computers
International Service Availability Symposium,International Service Availability Symposium
Towards change propagating test models in autonomic and adaptive systems,Towards Change Propagating Test Models In Autonomic And Adaptive Systems
TAAS,Taas
"15TH INTERNATIONAL CONFERENCE ON INFORMATION NETWORKING, PROCEEDINGS","International Conference On Information Networking, Proceedings"
Foundations and Trends in Human-Computer Interaction,Foundations And Trends In Human-Computer Interaction
SIGCOMM '90 Proceedings of the ACM symposium on Communications architectures & protocols,Sigcomm Proceedings Of The Acm Symposium On Communications Architectures And Protocols
INFORMATION TECHNOLOGY AND MANAGING QUALITY EDUCATION,Information Technology And Managing Quality Education
Virtual Environments Human-Computer Interfaces and Measurement Systems,Virtual Environments Human-Computer Interfaces And Measurement Systems
"Cyber Technology in Automation, Control, and Intelligent Systems","Cyber Technology In Automation, Control, And Intelligent Systems"
ENASE 2011: PROCEEDINGS OF THE 6TH INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,Enase - Proceedings Of The International Conference On Evaluation Of Novel Approaches To Software Engineering
"COLOR IMAGING: DEVICE-INDEPENDENT COLOR, COLOR HARDCOPY, AND GRAPHIC ARTS VI","Color Imaging: Device-Independent Color, Color Hardcopy, And Graphic Arts"
2015 IEEE 27th International Conference on Tools with Artificial Intelligence (ICTAI),Ieee International Conference On Tools With Artificial Intelligence
MACHINE READING FOR QUESTION ANSWERING,Machine Reading For Question Answering
Enterprise Information Systems - Design theory and methodology for enterprise systems,Enterprise Information Systems - Design Theory And Methodology For Enterprise Systems
MODSEC@MoDELS,Modsec@Models
Foundations of Semistructured Data,Foundations Of Semistructured Data
On space-bounded learning and the vapnik-chervonenkis dimension,On Space-Bounded Learning And The Vapnik-Chervonenkis Dimension
2017 IEEE International Conference on Computer Design (ICCD),Ieee International Conference On Computer Design
2019 2nd IEEE International Conference on Soft Robotics (RoboSoft),Ieee International Conference On Soft Robotics
"2013 INTERNATIONAL CONFERENCE ON COMPUTER, INFORMATION AND TELECOMMUNICATION SYSTEMS (CITS)","International Conference On Computer, Information And Telecommunication Systems"
ICEC '08 Proceedings of the 7th International Conference on Entertainment Computing,Icec Proceedings Of The International Conference On Entertainment Computing
ISWC-URSW,Iswc-Ursw
2015 7th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS),Workshop On Hyperspectral Image And Signal Processing: Evolution In Remote Sensing
"Olympia, WA","Olympia, Wa"
Approaches to High Aspect Ratio Triangulations,Approaches To High Aspect Ratio Triangulations
IEEE J. Rob. Autom.,Ieee J Rob Autom
2016 IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION (ICIA),Ieee International Conference On Information And Automation
IWDC,Iwdc
international conference on advanced learning technologies,International Conference On Advanced Learning Technologies
SECRYPT 2008: PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON SECURITY AND CRYPTOGRAPHY,Secrypt : Proceedings Of The International Conference On Security And Cryptography
Global Computing,Global Computing
UAI'98 Proceedings of the Fourteenth conference on Uncertainty in artificial intelligence,Uaiproceedings Of The Seventh Conference On Uncertainty In Artificial Intelligence
EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING,Eurasip Journal On Image And Video Processing
international conference on parallel and distributed systems,Ieee International Conference On Parallel And Distributed Systems
IEEE Wireless Communications & Networking Conference,Ieee Wireless Communications And Networking Conference
Journal of Geometry,Journal Of Geometry
Social Netw. Analys. Mining,Social Netw Analys Mining
ACM Journal of Computer Documentation,Acm Journal Of Computer Documentation
SocialCom/PASSAT,Socialcom/Passat
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),Ieee International Geoscience And Remote Sensing Symposium
International Conference on Concurrency Theory,International Conference On Concurrency Theory
APCCAS 2008 - 2008 IEEE Asia Pacific Conference on Circuits and Systems,Apccas - Ieee Asia Pacific Conference On Circuits And Systems
ICDAR,Icdar
IDEAS,Ideas
ISSAC '93 Proceedings of the 1993 international symposium on Symbolic and algebraic computation,Issac: Proceedings Of The Acm International Symposium On Symbolic And Algebraic Computation
PLDI '88 Proceedings of the ACM SIGPLAN 1988 conference on Programming Language design and Implementation,Proceedings Of The Acm Sigplan Conference On Programming Language Design And Implementation
2018 10th International Conference on Communication Systems & Networks (COMSNETS),International Conference On Communication Systems And Networks
DEVELOPMENTS IN LANGUAGE THEORY,Developments In Language Theory
High Performance Computing,High Performance Computing
"European Summer School in Logic, Language and Information","European Summer School In Logic, Language And Information"
"mathematical methods, models, and architectures for network security systems","Mathematical Methods, Models, And Architectures For Network Security Systems"
AAAI Spring Symposium: Game Theoretic and Decision Theoretic Agents,Aaai Spring Symposium: Game Theoretic And Decision Theoretic Agents
JOURNAL OF INTEGRATIVE BIOINFORMATICS,Journal Of Integrative Bioinformatics
Intelligent Systems in Molecular Biology,Intelligent Systems In Molecular Biology
High-Speed Networking for Multimedia Applications,High-Speed Networking For Multimedia Applications
SBST,Sbst
"Cybernetics, IEEE Transactions","Cybernetics, Ieee Transactions"
Software Engineering Approaches for Offshore and Outsourced Development,Software Engineering Approaches For Offshore And Outsourced Development
Multiagent and Grid Systems,Multiagent And Grid Systems
INFOCOM '97 Proceedings of the INFOCOM '97. Sixteenth Annual Joint Conference of the IEEE Computer and Communications Societies. Driving the Information Revolution,Infocom Proceedings Of The Infocom Sixteenth Annual Joint Conference Of The Ieee Computer And Communications Societies Driving The Information Revolution
ADVANCES IN CRYPTOLOGY - EUROCRYPT 2007,"Advances In Cryptology - Eurocrypt , Pt"
2007 Latin American Network Operations and Management Symposium,Latin American Network Operations And Management Symposium
"Neural Networks, 1996., IEEE International Conference","Neural Networks, , Ieee International Conference"
Angewandte Informatik,Angewandte Informatik
METHODS OF INFORMATION IN MEDICINE,Methods Of Information In Medicine
Scale-Space Theories in Computer Vision,Scale-Space Theories In Computer Vision
Software Agents and Soft Computing,Software Agents And Soft Computing
"Proceedings - 1st International Workshop on Knowledge Discovery and Data Mining, WKDD","Proceedings - International Workshop On Knowledge Discovery And Data Mining, Wkkd"
2017 6th International Conference on Information and Communication Technology and Accessibility (ICTA),International Conference On Information And Communication Technology And Accessibility
SUSI/PIPPI@MICCAI,Susi/Pippi@Miccai
Three-Dimensional Image Capture and Applications,Three-Dimensional Image Capture And Applications
spring conference on computer graphics,Spring Conference On Computer Graphics
The effects of group member experience and task complexity on computer-mediated collaborative groups facing deception,The Effects Of Group Member Experience And Task Complexity On Computer-Mediated Collaborative Groups Facing Deception
AISMC,Aismc
VISUALIZATION AND DATA ANALYSIS 2003,Visualization And Data Analysis
Journal of Engineering Technology,Journal Of Engineering And Technology
"Distributed Simulation and Real-Time Applications, 2000.",Distributed Simulation And Real-Time Applications
Efficient parallel execution of answer set programs,Efficient Parallel Execution Of Answer Set Programs
WEBIST (Selected Papers),Webist
VizSEC,Vizsec
ASMS) and 12th Signal Processing for Space Communications Workshop,Asms) And Signal Processing For Space Communications Workshop
HPDC,Hpdc
2017 IEEE 21st International Enterprise Distributed Object Computing Workshop (EDOCW),Ieee International Enterprise Distributed Object Computing Workshop
2019 4th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),Asia-Pacific Conference On Intelligent Robot Systems
NUCLEIC ACIDS RESEARCH,Nucleic Acids Research
USENIX Systems Administration Conference,Usenix Systems Administration Conference
ACM Journal on Emerging Technologies in Computing Systems (JETC),Acm Journal On Emerging Technologies In Computing Systems
"Intelligent Robots and Systems, 1998. Proceedings., 1998 IEEE/RSJ International Conference","Intelligent Robots And Systems, Proceedings, Ieee/Rsj International Conference"
IJBIS,Ijbis
Santiago,Santiago
ACM Transactions on Economics and Computation,Acm Transactions On Economics And Computation
2014 IEEE GLOBAL CONFERENCE ON SIGNAL AND INFORMATION PROCESSING (GLOBALSIP),Ieee Global Conference On Signal And Information Processing
International Workshop WG '86 on Graph-theoretic concepts in computer science,International Workshop Wg On Graph-Theoretic Concepts In Computer Science
BIOMETRIC RECOGNITION (CCBR 2019),Biometric Recognition
Horizons of the Mind,Horizons Of The Mind
CHIIR,Chiir
"Amsterdam, Netherlands","Amsterdam, Netherlands"
MindTrek08,Mindtrek
"2012 5th International Conference on New Technologies, Mobility and Security (NTMS)","International Conference On New Technologies, Mobility And Security"
SysCon,Syscon
WSKS,Wsks
"Proceedings - 1st International Conference on Robot, Vision and Signal Processing, RVSP 2011","Proceedings - International Conference On Robot, Vision And Signal Processing, Rvsp"
international conference on coordination models and languages,International Conference On Coordination Models And Languages
Microelectronics Systems Education,Microelectronic Systems Education
ImmersiveME@ACM Multimedia,Immersiveme@Acm Multimedia
"SODA '15: ACM SIAM Symposium on Discrete Algorithms
		      San Diego
		      California
		    January, 2015",Soda : Acm Siam Symposium On Discrete Algorithms San Diego California January
acm international conference hybrid systems computation and control,Acm International Conference Hybrid Systems Computation And Control
LaTeCH - SHELT&R@EACL,Latech - Sheltandr@Eacl
2020 14th International Conference on Ubiquitous Information Management and Communication (IMCOM),International Conference On Ubiquitous Information Management And Communication
ACM SIGCOMM Computer Communication Review - Special twenty-fifth anniversary issue. Highlights from 25 years of the Computer Communication Review,Acm Sigcomm Computer Communication Review - Special Twenty-Fifth Anniversary Highlights From Years Of The Computer Communication Review
Canadian Conference on AI,Canadian Conference On Ai
"Robotics and Automation, 2003. Proceedings. ICRA '03. IEEE International Conference",Robotics And Automation Proceedings Ieee International Conference
Mining Unstructured Data,Mining Unstructured Data
"2011 49th Annual Allerton Conference on Communication, Control, and Computing (Allerton)","Annual Allerton Conference On Communication, Control, And Computing"
2015 Second International Conference on Trustworthy Systems and Their Applications,Second International Conference On Trustworthy Systems And Their Applications
AAAI Spring Symposium: Experimental Design for Real-World Systems,Aaai Spring Symposium: Experimental Design For Real-World Systems
AP2PS,Ap2Ps
IEEE Computer Society IEEE Consumer Electronics Society IEEE Power & Energy Society IEEE Transactions on Cloud Computing,Ieee Computer Society Ieee Consumer Electronics Society Ieee Power And Energy Society Ieee Transactions On Cloud Computing
"Software, IEE Proceedings -","Software, Iee Proceedings"
Rio de Janeiro,Rio De Janeiro
Intelligent Engineering Systems,Intelligent Engineering Systems
"PROCEEDINGS OF THE 2010 INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURES AND SYNTHESIS FOR EMBEDDED SYSTEMS (CASES '10)","Proceedings Of The International Conference On Compilers, Architecture And Synthesis For Embedded Systems"
"2017 International Conference on Circuits, System and Simulation (ICCSS)","International Conference On Circuits, System And Simulation"
2016 1st International Workshop on Link- and System Level Simulations (IWSLS),International Workshop On Link- And System Level Simulations
APCBEE Procedia,Apcbee Procedia
GLOBECOM,Globecom
VISUAL INFORMATION PROCESSING VI,Visual Information Processing
international congress on neurotechnology electronics and informatics,International Congress On Neurotechnology Electronics And Informatics
Industrial Management and Data Systems,Industrial Management And Data Systems
EUROCRYPT '89 Proceedings of the workshop on the theory and application of cryptographic techniques on Advances in cryptology,Eurocrypt Proceedings Of The Workshop On The Theory And Application Of Cryptographic Techniques On Advances In Cryptology
2016 Sixth International Conference on Digital Information and Communication Technology and its Applications (DICTAP),Sixth International Conference On Digital Information And Communication Technology And Its Applications
INTERNATIONAL JOURNAL OF AUTOMATION TECHNOLOGY,International Journal Of Automation Technology
WESE,Wese
CoNEXT Companion,Conext Companion
RAODMAP@COLING,Raodmap@Coling
ICDM (Posters),Icdm
IJIRA,Ijira
2019 IEEE 3rd International Conference on Fog and Edge Computing (ICFEC),Ieee International Conference On Fog And Edge Computing
"Saint Louis, MO, USA","Saint Louis, Mo, Usa"
"PRINCIPLES AND PRACTICE OF CONSTRAINT PROGRAMMING, CP 2015",Principles And Practice Of Constraint Programming
IEEE Transactions on Geoscience and Remote Sensing,Ieee Transactions On Geoscience And Remote Sensing
Proceedings of the Second International Conference on Algebraic and Logic Programming,Proceedings Of The Second International Conference On Algebraic And Logic Programming
DILS'10 Proceedings of the 7th international conference on Data integration in the life sciences,Dilsproceedings Of The International Conference On Data Integration In The Life Sciences
Mobile!@SPLASH,Mobile!@Splash
EDUCATIONAL TECHNOLOGY & SOCIETY,Educational Technology And Society
"Computer Vision and Pattern Recognition, 2001. CVPR 2001. Proceedings of the 2001 IEEE Computer Society Conference","Computer Vision And Pattern Recognition, Cvpr Proceedings Of The Ieee Computer Society Conference"
"2009 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC 2009), VOLS 1-9","Ieee International Conference On Systems, Man And Cybernetics"
UNCERTAINTY FOR SAFE UTILIZATION OF MACHINE LEARNING IN MEDICAL IMAGING AND CLINICAL IMAGE-BASED PROCEDURES,Uncertainty For Safe Utilization Of Machine Learning In Medical Imaging And Clinical Image-Based Procedures
Multimedia Tools Appl.,Multimedia Tools Appl
"ADVANCES IN INFORMATION RETRIEVAL, ECIR 2017","Advances In Information Retrieval, Ecir"
conference on automated deduction,Conference On Automated Deduction
PROCEEDINGS OF 2015 IEEE 11TH INTERNATIONAL CONFERENCE ON ASIC (ASICON),Proceedings Of Ieee International Conference On Asic
IFIP TC3 Publications,Ifip Tc3 Publications
Journal of Ambient Intelligence and Humanized Computing,Journal Of Ambient Intelligence And Humanized Computing
Theoretical Computer Science - Clifford lectures and the mathematical foundations of programming semantics,Theoretical Computer Science - Clifford Lectures And The Mathematical Foundations Of Programming Semantics
2016 IEEE 14th International Workshop on Advanced Motion Control (AMC),Ieee International Workshop On Advanced Motion Control
2019 International Conference on Field-Programmable Technology (ICFPT),International Conference On Field Programmable Technology
An introduction to neural and electronic networks,An Introduction To Neural And Electronic Networks
New Economic Windows,New Economic Windows
Proceedings of the 13th Biannual Conference of the Italian SIGCHI Chapter: Designing the next interaction,Proceedings Of The Biannual Conference Of The Italian Sigchi Chapter: Designing The Next Interaction
AAAI Workshop: Learning Rich Representations from Low-Level Sensors,Aaai Workshop: Learning Rich Representations From Low-Level Sensors
Proceedings - IEEE Symposium on Computers and Communications,Proceedings - Ieee Symposium On Computers And Communications
Journal of Applied Non-Classical Logics,Journal Of Applied Non-Classical Logics
JOURNAL OF EXPERIMENTAL BIOLOGY,Journal Of Experimental Biology
Metal Powder Report,Metal Powder Report
COMPASS/ADT,Compass/Adt
"Universal Access in Human-Computer Interaction; Interaction Techniques and Environments, Pt II","Universal Access In Human-Computer Interaction; Interaction Techniques And Environments, Pt"
Conditioning graphs: practical structures for inference in bayesian networks,Conditioning Graphs: Practical Structures For Inference In Bayesian Networks
8TH INTERNATIONAL CONFERENCE ON EMERGING UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS (EUSPN 2017) / 7TH INTERNATIONAL CONFERENCE ON CURRENT AND FUTURE TRENDS OF INFORMATION AND COMMUNICATION TECHNOLOGIES IN HEALTHCARE (ICTH-2017) / AFFILIATED WORKSHOPS,International Conference On Emerging Ubiquitous Systems And Pervasive Networks / International Conference On Current And Future Trends Of Information And Communication Technologies In Healthcare / Affiliated Workshops
COMPUTER PERFORMANCE ENGINEERING,Computer Performance Engineering
Mathematical Methods of Operations Research,Mathematical Methods Of Operations Research
"Color Imaging: Device-Independent Color, Color Hardcopy, and Graphic Arts","Color Imaging: Device-Independent Color, Color Hardcopy, And Graphic Arts"
"Fairfax, VI",Fairfax
International Journal of Electronic Commerce,International Journal Of Electronic Commerce
Planar Graphs,Planar Graphs
AAAI Workshop: Artificial Intelligence for Cyber Security,Aaai Workshop: Artificial Intelligence For Cyber Security
Logic in Databases,Logic In Databases
DARE@CIKM,Dare@Cikm
image and vision computing new zealand,Image And Vision Computing New Zealand
International Conference on Artificial Intelligence,International Joint Conference On Artificial Intelligence
international conference on algorithms and architectures for parallel processing,International Conference On Algorithms And Architectures For Parallel Processing
2016 IEEE International Conference on Real-time Computing and Robotics (RCAR),Ieee International Conference On Real-Time Computing And Robotics
Symposium on Programming,Symposium On Programming
QA@ACL,Qa@Acl
The Journal of Supercomputing - Special issue: trends in parallel operating systems,The Journal Of Supercomputing - Special : Trends In Parallel Operating Systems
ICCV '13 Proceedings of the 2013 IEEE International Conference on Computer Vision,Iccvw Proceedings Of The Ieee International Conference On Computer Vision Workshop
Computational Intelligence and Ensemble Learning,Computational Intelligence And Ensemble Learning
2007 IEEE International Solid-State Circuits Conference. Digest of Technical Papers,Ieee International Solid-State Circuits Conference Digest Of Technical Papers
"2018 41st International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","International Convention On Information And Communication Technology, Electronics And Microelectronics"
SIGAda Conference,Sigada Conference
3DOR '16 Proceedings of the Eurographics 2016 Workshop on 3D Object Retrieval,Dor Proceedings Of The Eurographics Workshop On 3D Object Retrieval
COOP,Coop
SOFTWARE TESTING VERIFICATION & RELIABILITY,Software Testing Verification And Reliability
ACM Transactions on Computer Systems (TOCS),Acm Transactions On Computer Systems
IWANN,Iwann
Construction Robotics,Construction Robotics
ACE/ACSC/AISC/APCMM/AUIC/AWC,Ace/Acsc/Aisc/Apcmm/Auic/Awc
Theory and Application of Cryptographic Techniques,Theory And Application Of Cryptographic Techniques
2013 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC),Ieee Congress On Evolutionary Computation
WICOW,Wicow
2016 IEEE INTERNATIONAL CONFERENCE ON WEB SERVICES (ICWS),Ieee International Conference On Web Services
European Conference on Artificial Intelligence,European Conference On Artificial Intelligence
Software Technologies for Future Embedded and Ubiquitous Systems,Software Technologies For Future Embedded And Ubiquitous Systems
A generic framework for the deployment of structured databases on the World Wide Web.,A Generic Framework For The Deployment Of Structured Databases On The World Wide Web
"COMPUTER AIDED VERIFICATION, CAV 2014","Computer Aided Verification, Cav"
FUNDAMENTA MATHEMATICAE,Fundamenta Mathematicae
NEW ENGLAND COMPLEX SYSTEMS INSTITUTE SERIES ON COMPLEXITY,New England Complex Systems Institute Series On Complexity
LISA,Lisa
Symposium On Usable Privacy and Security,Symposium On Usable Privacy And Security
"PROGRESS IN PATTERN RECOGNITION IMAGE ANALYSIS, COMPUTER VISION, AND APPLICATIONS, CIARP 2014","Progress In Pattern Recognition Image Analysis, Computer Vision, And Applications, Ciarp"
ICSM '04 Proceedings of the 20th IEEE International Conference on Software Maintenance,Icsm Proceedings Of The Ieee International Conference On Software Maintenance
Document Recognition,Document Recognition
Journal of Homosexuality,Journal Of Homosexuality
"COMPUTATIONAL COLLECTIVE INTELLIGENCE: TECHNOLOGIES AND APPLICATIONS, PT II","Computational Collective Intelligence: Technologies And Applications, Pt"
International Journal of Applied Mathematics and Computer Science - Issues in Advanced Control and Diagnosis,International Journal Of Applied Mathematics And Computer Science - Issues In Advanced Control And Diagnosis
International Journal of Services Sciences,International Journal Of Services Sciences
IEEE Transactions Cloud Computing,Ieee Transactions Cloud Computing
CIIA,Ciia
"Bioinformatics (Oxford, England)",Bioinformatics
Math. Meth. of OR,Math Meth Of Or
DATA MINING AND KNOWLEDGE DISCOVERY,Data Mining And Knowledge Discovery
international conference devoted to engineering usable and effective interactive computing systems,International Conference Devoted To Engineering Usable And Effective Interactive Computing Systems
Brazilian Symposium on Multimedia and the Web,Brazilian Symposium On Multimedia And The Web
"CLOUD COMPUTING AND SECURITY, PT I","Cloud Computing And Security, Pt"
Singapore,Singapore
Medical Measurements and Applications,Medical Measurements And Applications
ICPADS (2),Icpads
Scandinavian Workshop on Algorithm Theory,Scandinavian Workshop On Algorithm Theory
2018 7th Brazilian Conference on Intelligent Systems (BRACIS),Brazilian Conference On Intelligent Systems
Toward autonomic web services trust and selection,Toward Autonomic Web Services Trust And Selection
SOFT COMPUTING,Soft Computing
"Annals of the History of Computing, IEEE","Annals Of The History Of Computing, Ieee"
18TH INTERNATIONAL SYMPOSIUM ON VLSI DESIGN AND TEST,International Symposium On Vlsi Design And Test
International Journal of Science Education,International Journal Of Science Education
AI Communications,Ai Communications
Not All Planar Digraphs Have Small Cycle Separators,Not All Planar Digraphs Have Small Cycle Separators
Hardware-Software Co-Design for High Performance Computing,Hardware-Software Co-Design For High Performance Computing
LDAV,Ldav
ITiCSE '05 Proceedings of the 10th annual SIGCSE conference on Innovation and technology in computer science education,Iticse : Proceedings Of The Annual Sigcse/Sigcue Conference On Innovation And Technology In Computer Science Education
Data Visualization: The State of the Art,Data Visualization: The State Of The Art
"Robotics and Automation, 2004. Proceedings. ICRA '04. 2004 IEEE International Conference",Robotics And Automation Proceedings Ieee International Conference
granular computing,Granular Computing
IEEE Workshop on Multimedia Signal Processing,Ieee First Workshop On Multimedia Signal Processing
"Digital Information Management, 2007. ICDIM '07. 2nd International Conference","Digital Information Management, Icdim International Conference"
"Circuits and Systems, 2002. ISCAS 2002. IEEE International Symposium","Circuits And Systems, Iscas , Ieee International Symposium"
Smart Learning Environments,Smart Learning Environments
SIGMOD '91 Proceedings of the 1991 ACM SIGMOD international conference on Management of data,Sigmod Proceedings Of The Acm Sigmod International Conference On Management Of Data
SIXTEENTH INTERNATIONAL CONFERENCE ON PRINCIPLES OF KNOWLEDGE REPRESENTATION AND REASONING,Sixteenth International Conference On Principles Of Knowledge Representation And Reasoning
"Edmonton, Alta.","Edmonton, Alta"
2016 Workshop on Fault Diagnosis and Tolerance in Cryptography (FDTC),Workshop On Fault Diagnosis And Tolerance In Cryptography
2019 IEEE 25th International Conference on Parallel and Distributed Systems (ICPADS),Ieee International Conference On Parallel And Distributed Systems
International Conference on High Performance Computing,Ieee International Conference On High Performance Computing
Int. J. Hum. Comput. Interaction,Int J Hum Comput Interaction
Proceedings of the IEEE International Test Conference on Driving Down the Cost of Test,Proceedings Of The Ieee International Test Conference On Driving Down The Cost Of Test
"Palo Alto, CA","Palo Alto, Ca"
Applied Mathematics & Information Sciences,Applied Mathematics And Information Sciences
2019 IEEE 37th VLSI Test Symposium (VTS),Ieee Vlsi Test Symposium
